2017-10-27 16:53:59.864034,Button Pressed
2017-10-27 16:54:00.301001,Button Pressed
2017-10-27 16:54:00.689618,Button Pressed
2017-10-27 16:54:01.067488,Button Pressed
2017-10-27 16:54:01.366673,Button Pressed
2017-10-27 16:54:01.651098,Button Pressed
2017-10-27 16:54:01.894672,Button Pressed
2017-10-27 16:56:13.679245,Button Pressed
2017-10-27 16:56:13.922007,Button Pressed
2017-10-27 16:56:35.319702,Button Pressed
2017-10-27 16:56:35.555851,Button Pressed
2017-10-27 16:56:35.798008,Button Pressed
2017-10-27 17:00:21.436895,Button Pressed
2017-10-27 17:00:21.661277,Button Pressed
2017-10-27 17:00:21.862351,Button Pressed
2017-10-27 17:00:22.063251,Button Pressed
2017-10-27 17:00:22.264306,Button Pressed
2017-10-27 17:00:22.465299,Button Pressed
2017-10-27 17:00:22.694652,Button Pressed
2017-10-27 17:00:22.949266,Button Pressed
2017-10-27 17:00:25.468961,Button Pressed
2017-10-27 17:00:25.669773,Button Pressed
2017-10-27 17:12:08.749392,Button Pressed
2017-10-27 17:12:08.950602,Button Pressed
2017-10-27 17:12:09.151571,Button Pressed
2017-10-27 17:12:09.386230,Button Pressed
<<<<<<< HEAD
2017-10-27 17:27:21.419527,Button Pressed
2017-10-27 17:27:21.639775,Button Pressed
2017-10-27 17:27:21.840630,Button Pressed
2017-10-27 17:27:22.041562,Button Pressed
2017-10-27 17:27:22.242500,Button Pressed
2017-10-27 17:27:22.443459,Button Pressed
2017-10-27 17:27:32.820419,Button Pressed
2017-10-27 17:27:33.021326,Button Pressed
=======
2017-10-27 18:28:13.558703,Button Pressed
2017-10-27 18:28:13.860264,Button Pressed
2017-10-27 18:28:14.147431,Button Pressed
2017-10-27 18:28:14.366105,Button Pressed
2017-10-27 18:28:14.633475,Button Pressed
2017-10-27 18:28:14.902752,Button Pressed
2017-10-27 18:28:15.135178,Button Pressed
2017-10-27 18:28:15.358594,Button Pressed
2017-10-27 18:34:02.838557,Button Pressed
2017-10-27 18:34:03.039879,Button Pressed
2017-10-27 18:34:03.507719,Button Pressed
2017-10-27 18:34:03.752474,Button Pressed
2017-10-27 18:34:03.964035,Button Pressed
2017-10-27 18:34:04.165036,Button Pressed
2017-10-27 18:34:04.366125,Button Pressed
<<<<<<< HEAD
2017-10-27 18:53:02.475667,Button Pressed
2017-10-27 18:53:02.729122,Button Pressed
2017-10-27 18:53:02.930121,Button Pressed
2017-10-27 18:53:03.131169,Button Pressed
2017-10-27 18:53:03.332231,Button Pressed
2017-10-27 18:54:42.731682,Button Pressed
2017-10-27 18:54:42.933011,Button Pressed
2017-10-27 18:54:43.134020,Button Pressed
2017-10-27 18:54:43.335137,Button Pressed
2017-10-27 18:54:43.584438,Button Pressed
2017-10-27 19:02:36.992135,Button Pressed
2017-10-27 19:02:37.208231,Button Pressed
2017-10-27 19:02:37.409241,Button Pressed
2017-10-27 19:02:37.610424,Button Pressed
=======
2017-10-27 19:49:57.840899,Button Pressed
2017-10-27 19:49:58.045324,Button Pressed
2017-10-27 19:49:58.245965,Button Pressed
2017-10-27 19:49:58.446610,Button Pressed
2017-10-27 19:49:58.647280,Button Pressed
2017-10-27 19:49:58.848074,Button Pressed
2017-10-27 19:49:59.048940,Button Pressed
2017-10-27 19:49:59.272012,Button Pressed
2017-10-27 19:49:59.514873,Button Pressed
2017-10-27 19:49:59.715718,Button Pressed
2017-10-27 19:49:59.952497,Button Pressed
2017-10-27 19:50:00.153322,Button Pressed
>>>>>>> b3d55fddb36b26541f4e941b50a96fa006a8277f
>>>>>>> f5d481a43c717799f5d2bd07214ce242b2140fcf
